user_id,group,username,Generosity,Learning,Attention,Emotion,Risk Tolerance,Decision Making,Effort,Fairness,Focus
1,2,Participant 1,0.317201414,2.910878268,1.083517039,-0.781326315,3.467978616,0.575571247,-0.250353733,0.948830667,1.60377206
2,2,Participant 2,0.342737595,0.009293626,0.263498387,-0.85044888,2.620115526,0.275816389,1.061302831,0.933252344,0.458749064
3,2,Participant 3,0.47548363,-0.725288565,-0.311269443,-1.422380642,2.186749121,-1.011234735,1.048389393,-2.230345702,0.412635898
4,0,Participant 4,0.253379935,-0.328421277,0.573478274,-0.485783282,2.063100281,0.897625379,3.557609856,-0.904356277,-0.215977384
5,1,Participant 5,2.069144365,-0.778006784,0.089566034,-0.274319792,1.967614772,-1.032116406,-0.918040391,1.018755698,0.059705666
6,1,Participant 6,2.415039077,-0.168879284,0.838993501,0.05039457,1.869632867,-0.439080401,-0.740043607,-1.167234221,-0.721489349
7,1,Participant 7,0.205205445,-0.305585288,0.538790478,0.058868577,1.668285317,-0.187103799,0.886275364,0.882043692,-0.605874255
8,0,Participant 8,0.036819065,-0.314762039,-0.790101953,0.33133857,1.392177775,-0.820396933,0.186211211,-0.638119027,-0.006176257
9,0,Participant 9,0.339149114,1.017961037,0.74390937,1.36159916,1.250770996,0.635587953,-0.231780469,-0.750203787,-1.226581547
10,2,Participant 10,0.35589021,-1.384837042,0.716789003,-0.539542838,1.241705581,0.511030891,-0.840856422,0.950284644,1.85943596
11,1,Participant 11,0.277929026,0.218553849,-0.526110705,-0.762749308,1.234806314,-0.812296141,0.228992793,0.82865485,-0.737053387
12,1,Participant 12,0.314053008,0.723956292,0.340755277,-0.327537411,1.206233646,-0.666783004,-0.719572893,0.867533159,0.16692711
13,2,Participant 13,-0.671925019,-0.627071062,1.180493037,-1.477344309,1.175340198,0.991936927,0.272315613,0.508587642,0.954399558
14,2,Participant 14,0.690272315,-0.105463793,0.882028105,-0.648564941,1.138079228,-0.710630965,1.436841716,0.212450902,0.242034615
15,0,Participant 15,-1.665152875,-0.817766412,-1.369307969,0.116572255,1.049288272,0.801708168,-0.240174711,0.140988819,0.551899873
16,2,Participant 16,1.833802147,-0.54327239,0.336531759,-0.262958824,1.045460658,-0.098865216,2.466441585,-0.828095959,1.147925867
17,1,Participant 17,1.132009243,-0.681439111,-1.027733964,-0.380442371,1.023732423,-0.996266702,-0.658995574,0.589218311,0.964512579
18,2,Participant 18,0.644156003,-0.478123185,1.023525098,-0.659051807,0.991569646,-0.730276411,0.867363637,0.848413674,0.916490155
19,1,Participant 19,1.402888348,-0.266736335,0.799638033,-0.814240114,0.975875634,-1.09913613,-0.340189194,0.988093022,-0.076663099
20,2,Participant 20,0.453155095,2.669652011,0.497594194,-0.093305067,0.825785404,1.651605908,1.047829937,0.900255749,0.14693206
21,0,Participant 21,0.356608503,0.264149831,-0.545647145,-0.015672487,0.81471757,0.406337676,1.86878779,-0.560556968,-0.034936076
22,2,Participant 22,0.430757962,-0.036281893,0.823404105,-0.936189467,0.781655856,-0.403013906,0.250369187,0.878562634,1.168756349
23,2,Participant 23,0.120880493,0.365678361,0.997621735,0.122021839,0.745615822,0.47465577,-0.248241969,0.908263366,0.025064302
24,0,Participant 24,0.384153931,-0.244998841,1.013668178,-0.021215722,0.698497744,2.299875864,1.146234247,-0.992128047,0.939728164
25,1,Participant 25,0.694810938,-0.416151896,0.839984649,-1.394004766,0.594742872,-0.859119968,-0.425798806,0.765109691,-0.457346278
26,2,Participant 26,0.008433978,-0.008713619,1.05995501,-0.635613327,0.56208976,-0.026229972,1.278248717,0.677386216,0.812943101
27,0,Participant 27,0.345011671,0.689233139,0.004445051,0.325097721,0.551961168,-0.087766077,0.777947354,0.081199582,-0.675521323
28,0,Participant 28,-0.276684473,-0.307143326,-0.507419615,-1.055396136,0.550919527,-0.606334019,0.379436486,-1.080523434,-0.333296486
29,1,Participant 29,-0.281351994,0.091492534,0.363986069,-0.362207747,0.523802517,0.414071233,-0.17561668,0.788914272,-0.630128138
30,2,Participant 30,0.199941025,-0.649652121,1.080808617,-0.909261011,0.509203279,-0.420130072,0.15365451,0.375275577,1.017829818
31,2,Participant 31,0.663477605,0.011167333,0.176227852,-1.408275761,0.454643532,-0.648869513,1.365374851,0.825561114,1.048908647
